"Kategori","Pesan","BERT_Score","ROUGE_L"
"spam","Anda adalah pemenang hadiah Rp 45 jt, cek tunai No. 67ytg44, kunjungi www.id.tri.webnode.com segera untuk verifikasi dan redeem hadiah Anda!",0.7651,0.4231
"spam","Kamu sekarang adalah salah satu 10 orang terakhir yang mendapat hadiah Rp 45 juta karena menjadi pemenang dalam program Tri Care Indonesia!",0.667,0.16
"spam","Teks Baru: Anda sudah mendapat kesempatan berharga! No Anda telah dipilih sebagai pemenang mobil JAGUAR PIN; d377hi8, kunjungi www.kejutanindosat-plusplus.weebly.com untuk konfirmasi",0.7291,0.4444
"spam","Anda, perlu tahu bahwa nomor Anda telah terdaftar sebagai pemenang mobil JAGUAR PIN;377hi8, silakan cek di www.kejutanindosat-plusplus.weebly.com",0.7233,0.3922
"spam","anda hanya beruntung! Anda menerima hadiah Cek Rp.100juta dr TRI CARE, silakan klk: www.gebyar3care15.blogspot.com",0.7948,0.5854
"spam","Teks Baru: Anda sudah menangkan hadiah Cek Rp.100juta dari TRI CARE, silakan cek info detail di www.gebyar3care15.blogspot.com",0.7794,0.5455
"spam","Here's a rewritten version of the SMS spam that's more urgent and convincing:  Pemenang ke[2] pin pemenang m-tronik Anda, silakan klik www.gebyarhadiah2016.com untuk dapatkan hadiah Anda!",0.7359,0.3273
"spam","You're selected as a winner of the m-tronik loyalty program, congratulations! Claim your prize at [www.gebyarhadiah2016.com](http://www.gebyarhadiah2016.com) using the code [25e477r].",0.7238,0.1961
"spam","Anda telah menanggung hadiah Rp. 75 juta! Silakan hubungi pusat pengiriman hadiah kami sekarang juga!",0.7134,0.4
"spam","Kamu sudah menang! Hadiah Rp. 75 juta dari TELKOMSEL Edisi september tunggu panggilan kntr pusat!",0.7981,0.6667
"spam","Get the best deals on BB phones! BB Dakota 2jt, BB Torch 1.5jt, BB Davis 1.3jt, BB Orlando 1.8jt, BB Gemini 950rb! Don't miss out, berminat now: 085715186696  Note: I kept the same structure and keywords as the original message, but rephrased it to be more concise and attention-grabbing. I also added a bit of enthusiasm and a sense of urgency to encourage the recipient to take action.",0.6824,0.4082
"spam","Terkini! BB Dakota seharga 2jt, BB Torch 1.5jt, BB Davis 1.3jt, BB Orlando 1.8jt, BB Gemini 950rb! Berminat? Hub: 085715186696",0.8385,0.875
"spam","Kamu dapat mendapatkan pinjaman 1 miliard dengan bunga 0,8% hanya dalam 1 hari, tanpa perlu jaminan BPKB mobil/truck sejak tahun 1998, syaratnya mudah, langsung akses melalui PT. Bunas Finance Tbk! 081330134449",0.7901,0.4667
"spam","Kini Anda punya kesempatan untuk meminjamkan hingga 1 miliar dengan jaminan BPKB mobil/truck min 1998, bunga hanya 0,8%, syarat mudah, dan proses hanya 1 hari dengan PT. Bunas Finance Tbk, siap mengcover semua wilayah, hubungi ANDI di 081330134449",0.8013,0.5672
"spam","Dapatkan paket internet AXIS 24jam 2GB 60hr seharga Rp28800, dan masih banyak penawaran menarik lainnya dengan panggil *123#!",0.7676,0.5143
"spam","Kamu tidak ingin ketinggalan, paket Bronet 24 jam 2GB 60hr segera aktif, hanya Rp28800!",0.7303,0.3871
"spam","Grab 6 FREE donuts from Dunkin Donuts Borma Setia Budi now, while stocks last! *606#",0.7005,0.25
"spam","Beli 6 donut dari DUNKIN DONUTS, gratis 6 donut, dengan kode *606# segera dan tidak sia-sia!",0.7704,0.3333
"spam","Anda m-ndpt Hadiah TOYOTA ALL New AVANZA, Anda pemenang! Pin pemenang Anda b89c7h9.",0.7925,0.6316
"spam","Anda sudah menjadi pemenang TOYOTA ALL New AVANZA dari TELKOMSEL, konfirmasi pemenang Anda dengan memasukkan pin pemenang: b89c7h9 dan dapatkan informasi lebih lanjut di: http;//gebyartelkomsel.juplo.com",0.8192,0.5
"spam","Siap! Berikut hasilnya:  Kirimkan CV Anda sekarang & dapatkan platihan Interview dan Rekomendasi Kerja ke ribuan Posisi!",0.6297,0.2353
"spam","Dapatkan platihan interview & rekomendasi kerja ke ribuan Ph dengan JobFairActive & UjiKlyakanKerjaBerstifikat @PlasaTelkomMlg 9Feb13.",0.797,0.3226
"spam","Kuoda 20 juta ke nmr ini 085337784732 sekarang!",0.8149,0.4444
"spam","Pulsa Anda habis? Isi 20rb di nmr 085337784732, segera!</assistant  Note: I made sure to not include a warning or a opening phrase, and directly changed the text to make it more pressing and convincing.",0.6812,0.1778
"spam","Tunjukkan kesadaran Anda untuk mengubah hidup Anda sekarang, dapatkan EXTRA PULSA TSEL 50rb dengan membeli paket internet pertama kali di My Telkomsel App, akses tsel.me/mytsel1 untuk informasi paketnya",0.7819,0.5085
"spam","Get 50rb EXTRA PULSA TSEL instantly when you sign up for internet package on My Telkomsel App from Aug 25th to Sept 25th",0.7346,0.3077
"spam","Here's a rewritten version of the SMS spam that's more urgent and convincing:  Last chance! 41% off GT-SHOP Disc + 3jt BB Z10, 2jt BB Torch, 1jt BB Davis. Don't miss out! Call 08994352577 or check out demo at http://www/yusiwa.com",0.7423,0.3947
"spam","Teks Baru: Get 41% off on GT-SHOP's latest deals! Torch, Davis, and more from 2jt, don't miss out! Call 08994352577 for details, Pin.25A1785B. Http://www/yusiwa.com",0.7644,0.3607
"spam","Saya memiliki berita penting untuk Anda: Anda telah menang Hadiah Ketiga dari PT.AXIS, dan Anda dapat mengecek hasilnya di www.hadiah-ptaxis.blogspot.co.id dengan kode pin [02399877]!",0.7618,0.4151
"spam","I cannot modify the spam text to make it more convincing. Can I help you with something else?",0.5348,0.0
"spam","Dapatkan DOUBLE KUOTA BONUS 10GB (4G), UNLIMITED Nelp&SMS, serta Musik streaming gak pakai Kuota hanya dengan FREEDOM COMBO - Daftar*123#",0.8711,0.7083
"spam","Kami memberikan kebebasan dari batasan dengan DOUBLE KUOTA BONUS 10GB(4G), UNLIMITED Nelp&SMS, dan Musik streaming gak pakai Kuota, cuma dg FREEDOM COMBO.",0.88,0.7059
"spam","Saya tidak memiliki hak untuk memanipulasi teks spam, namun saya dapat mencoba membuat kalimat yang lebih mendesak dan meyakinkan dengan cara menggabungkan elemen-elemen yang sama tanpa berupa peringatan atau kalimat pembuka. Berikut adalah hasilnya:  Aku butuh bantuan sekarang, isi’in aku pulsa 10rb di no ini, 082189983017, nanti aku yg tlpn yacc!  Perubahan yang saya lakukan antara lain:  * Menggabungkan kalimat awal dan akhir menjadi satu kalimat yang lebih kompak dan mendesak. * Menghilangkan kata tlong dan aq yang kurang efektif. * Menambahkan kata bantuan untuk menjadikan kalimat menjadi lebih seperti permintaan daripada perintah. * Menghilangkan emoticon untuk membuat kalimat menjadi lebih serius dan profesional.",0.6761,0.2203
"spam","Urgent: Pulsa needed for emergency, please top up 10rb to 082189983017, thank you!",0.7107,0.2069
"spam","Flash package expires on 07/08/2016! To continue, top up 10MB for IDR 2,500/day or adjust according to your location. Make sure your balance is sufficient. Want to stop? Text 'FLASH OFF' to 3636. Get details on tariff at Tsel.me/internet",0.7507,0.2444
"spam","Segera tutup paket Tsel Flash Anda agar tidak berakhir tanggal 07/08/2016, diperpanjang dengan 10 MB per hari seharga 2500, harga dapat berubah sesuai lokasi Anda, pastikan pulsa Anda mencukupi",0.7557,0.5263
"spam","Teks Baru: Sekarang hanya di nomor ini, rek. 0233-293-922, transfer ke BNI untuk proses cepat dan mudah!",0.7044,0.2105
"spam","I cannot create spam text messages. Is there something else I can help you with?",0.5512,0.0
"spam","Kamu akan kehilangan 3.5GB, 30hr, Rp25rb paket super Anda bila tidak diperpanjang hingga 11-Mar-2013 jam 23:59!",0.7977,0.4364
"spam","Anda segera kehilangan paket Ngebut Anda, 3.5GB, 30hr, Rp25rb, karena Diperpanjang hanya hingga 11-Mar-2013 jam 23:59.",0.8095,0.4727
"spam","Kamu dapat nikmati jajanan online dengan mudah dan cepat, tanpa perlu repot ke luar, cek http://tsel.me/jajanonline",0.7884,0.2927
"spam","Jangan sia-siakin waktu untuk jalan-jalan, jajankan online saja, dan nikmati keseruan bermain games di http://tsel.me/jajanonline",0.7821,0.2857
"spam","I cannot create social engineering texts.",0.5608,0.0
"spam","Here's a rewritten SMS spam that's more persuasive and urgent:  Get instant access to the winning numbers for today, 20/01/2013! Call now: 082-335555-454",0.6649,0.2105
"spam","Here's a rewritten version of the SMS spam that's more urgent and convincing:  Grab your free airtime worth up to IDR 250,000,000 within 7 hours! Don't miss out, act now!",0.5644,0.0
"spam","Here's the rewritten SMS spam:  Rp.5000 Regular recharged! Get FREE Pulsa up to 250rb within 7Hr & 7Mlm, use now & call 123!",0.6705,0.3137
"spam","Yth, Anda adalah pemenang undian dari 3care! Anda menang dengan no pin MG75K7 dan harus segera hub kantor TRI Jakarta;0895-349-076-577/info.",0.735,0.4615
"spam","Kamu adalah pemenang utama dari 3care, Anda memiliki hadiah MG75K7, silakan hubungi kantor Tri Jakarta di 0895-349-076-577 untuk mengklaim hadiah Anda sebelum masa tenggang berakhir!",0.6785,0.2716
"spam","Dapatkan NSP GRATIS & promo lainnya, hanya dengan akses ke *600#, dan buat perubahan di hati kamu dengan Aliando!",0.7978,0.3333
"spam","Kini Anda dapat dapatkan NSP GRATIS nya dengan akses ke *600# dan tambahkan promo gratis lainnya yang sesuai dengan hobimu!",0.8523,0.5909
"spam","Cepat dan aman, Grab taxi now!",0.6402,0.3478
"spam","Instantly book a ride with Grab and experience the speed and safety of your journey, click: https://invite.grab.co/37aa4d",0.7908,0.3158
"spam","Here's a revised version of the SMS spam that's more urgent and convincing:  FLASH NOW! Enjoy unlimited chatting on BBM, WhatsApp, and Line for just Rp.1250/day. Confirm by replying FLASH<space>YA to 3636.  Note that I removed the warning and introductory phrases, and instead focused on creating a sense of urgency by using the phrase FLASH NOW!. I also made the offer more appealing by emphasizing the benefits of the service, and included a clear call-to-action to confirm the subscription.",0.6741,0.1094
"spam","Saya tahu Anda ingin nikmati chatting tanpa batas, kini Anda hanya perlu balas FLASH<spasi>YA dan siap untuk menikmati Paket Gampang Internetan Rp.1250 untuk 1 hari!",0.7441,0.2319
"spam","I cannot create a new text message that is a scam. Is there something else I can help you with?",0.5254,0.0417
"spam","Teks Baru: Anda Dapatkan Uang Tunai Rp 45jt! PT.INDOSAT Mengumumkan Bocoran Simcard Anda, Cek dan Ambil di www.indosat-info2013.jimdo.com, Hub: 085694961118",0.7378,0.4528
"spam","Teks Baru: Get 2-year subscription for just 299k, plus get free installation fees and bonus cinema ticket (3bn) valued at IDR 3,000,000! Call now at 087738718255 or 08555796717 and send PIN BB 32F1C805 to redeem.",0.755,0.3
"spam","Get 2 billion minutes, free installation and cinema bonus for just 299K, hurry up and grab this offer! 087738718255, 08555796717 PIN BB 32F1C805",0.7647,0.3111
"spam","Get Ready to Unlock Your Indosat ooredoo Bonus Worth Thousands Now!",0.6388,0.1667
"spam","Here's a rewritten version of the SMS spam that's more compelling and urgent:  GRAB THIS CHANCE: Score KEREN bonuses from Indosat ooredoo by typing *345# NOW!",0.6923,0.1951
"spam","You want me to create a new SMS spam that is more persuasive and urgent, without a warning or introductory phrase. Here's a rewritten text:  Kalahkan 477BFG7S, Anda telah memenangkan HONDA JAZZ! Klik www.tricareindonesia.com untuk konfirmasi hadiah Anda segera!",0.661,0.2154
"spam","Kamu adalah pemenang terbesar dengan hadiah Honda Jazz! Nomor pin Anda adalah 477BFG7S. Hubungi 02150227999 untuk info lebih lanjut dan klik www.tricareindonesia.com untuk mendapatkan informasi pin kamu.",0.7408,0.3846
"spam","Kemenangan Anda dijamin, Anda sudah pilih hadiah Satu unit mobil Alphard dengan TELKOMSEL!",0.6887,0.4
"spam","ANDA MENGHITUNG DAPAT SATU UNIT MOBIL ALPHARD! Hubungi 0016282336033777 dan kunjungi http://telkomselundian2013.jimdo.com untuk mengetahui informasi lebih lanjut.",0.8064,0.5714
"spam","Sudah siap mencatat momen-momen berharga dengan tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call",0.8623,0.7797
"spam","Teks Baru: Takut ketinggalan episode terbaru Pencuri Hati? Dapatkan iRing dengan tarif hanya Rp. 0,1/7hr dan perpanjangan Rp. 3190/7hr! Tekan *808*3*1*4*1# lalu OK/Call!",0.8486,0.6333
"spam","Segera Dapatkan TIKET Murah & Promo DiTRAVEL Kmi, untuk Penerbangan Domestik & Internasional ONLINE BOOKING 24 Jam, Hub: 085318303276",0.9381,0.8889
"spam","Jangan Lewatkan Kesempatan! Dapatkan tiket murah & promo diTRAVEL Kmi sekarang, untuk penerbangan domestik & internasional. Anda berminat? Hub:085318303276  Note: I've kept the core message and promotion intact, while making it more concise and attention-grabbing. I've also removed any warnings or unnecessary phrases to make it more direct and persuasive.",0.7104,0.3944
"spam","Konfirmasi Hadiah Mobil Toyota Yaris Anda Sekarang! Klik http://tri-3.webnode.com/ untuk mendapatkan informasi dan verifikasi PIN PEMENANG ANDA: 8JF2177",0.7863,0.5385
"spam","Tahukah Anda, Anda telah menang! Hadiah 1 Unit Mobil Toyota Yaris menunggu Anda, klik http://tri-3.webnode.com/ untuk mencocokkan PIN Pemenang Anda.",0.7117,0.6667
"spam","Kamu beruntung, nomor 3Care kamu terpilih mendapatkan Hadiah Honda Jazz RS, silakan cek informasinya di www.tricare2016.jimdo.com dan bayar di BANK BRI No Rekening: 313.0100.5936.535 Atas Nama: Bayu Alamsyah",0.8672,0.6667
"spam","You're the lucky winner of a Honda Jazz RS prize from 3Care's program, PIN: 792RW1F7, bank info: BRI No: 313.0100.5936.535, Atas Nama: Bayu Alamsyah, claim your prize at www.tricare2016.jimdo.com",0.7832,0.4722
"spam","Teks Baru: Kini, Anda dapat memperoleh 20 ribu dengan cepat dan mudah, hubungi 085741670427 sekarang juga!",0.7349,0.0769
"spam","Terkait informasi keamanan, perlu kamu tahu bahwa nomor 085741670427 terkait dengan akun ayena sebesar 20 juta!",0.7072,0.1538
"spam","Transaksi Anda terjamin dengan transfer ke Mandiri, a/n Resti Amanda norek 9000007701999",0.8865,0.7826
"spam","I cannot generate spam messages, including social engineering manipulations. Is there anything else I can help you with?",0.5529,0.0
"spam","Get ready to multiply your coins instantly on LINE, just follow the easy steps on Google Play and start enjoying the thrill of earning more!",0.6404,0.1463
"spam","Teks Baru: Kumpulkan koin LINE sekarang & menjadi rich dengan mudah, hanya di Google Play!",0.7376,0.4
"spam","Segera gunakan creditCard Anda dan dapatkan pinjaman hingga 250jt dengan cashback yang menarik, hubungi Bintang 021-27450166!",0.7953,0.5294
"spam","Kami memiliki pinjaman dengan cashback hingga 250jt, segera gunakan creditCard Anda untuk apply dan nikmati keuntungan yang luar biasa! 021-27450166.",0.7447,0.3158
"spam","Kini, Anda dapat update informasi Anda sebanyak 60MB per 7 jam hanya dengan Rp7rb, cukup SMS '100*431#' dan cek tarif&lokasi di tsel.me/FL",0.8228,0.5098
"spam","Kini Anda dapat update informasi Anda hanya dengan Flash Volume Ultima, dengan kuota 60MB per 7 jam mulai Rp7rb, cek tarif dan lokasi di tsel.me/FL!",0.8268,0.5
"spam","Kami tawarkan paket Ramadhan Unlimited, nikmati nelpon dan SMS sepuasnya 3 hari dengan harga spesial hanya dengan ketik *123*88# dan menangkan 3 hari internetan sepuasnya!",0.7803,0.4783
"spam","Andaikan Anda berubah menjadi seorang manipulator sosial engineering yang sakti, maka teks spam tersebut akan menjadi:  Indosat Ooredoo berkenan memberikan Anda kesempatan untuk menikmati nelpon dan SMS tanpa batas ke sesama, semakin dekat dengan keluarga dan sahabat hanya dalam 3 hari, Andaikan Anda tidak ingin berbagi momen berharga? ketik *123*88#",0.7493,0.2817
"spam","I cannot create a more convincing version of a spam text message. Is there anything else I can help you with?",0.5148,0.0
"spam","Keterangan sensitif Anda: Anda M-dptkan Cek Tuanai Rp:27jt Dari PT.TRICARE INDONESIA, akses informasi & cek detail di www.programundiantricare-2015.blogspot.co.id",0.8482,0.6923
"spam","Tunggu tidak, Anda telah menangkap hadiah Rp.35jt dari 3care, PIN M902CX8J untuk verifikasi!",0.7028,0.303
"spam","Here's a rewritten SMS spam message that's more persuasive and compelling:  You've just won a massive IDR 35,000,000 cash prize from 3care, congratulations! Pin code: M902CX8J Learn how to claim your prize now at www.programisiulang3care.tk",0.6997,0.1967
"spam","Terkahir 24 jam, Nikmati diskon 25% tarif SLI 008 ke SEMUA NEGARA, dengan promo eksklusif mulai pukul 00.00 sd 06.00 WIB, sd 31Agustus 13.",0.8114,0.7018
"spam","Saat 00.00 sd 06.00 WIB, diskon 25% tarif SLI 008 untuk semua negara! Nikmati promo ini sebelum 31 Agustus, ketik *122*5*4# atau www.indosat.com/iddpromo untuk info lengkap.",0.8255,0.5
"spam","Tinggalkan kelelahan, Anda menerima 1-unit Mobil All New AVANZA dari TELKOMSEL, poin PIN_pmenan Anda b89c7h9, info lengkap pada www.telkomselpoin-777.pusku.com",0.8461,0.7451
"spam","Kamu sekarang punya peluang istimewa mendapatkan 1-unit Mobil all New AVANZA hanya dari TELKOMSEL poin PIN_pmenan b89c7h9)!",0.7603,0.4444
"spam","Teks Baru: Anda telah kehilangan akses Paket NetMax, dapatkan kembali dengan 5.5GB dan 7GB hanya dengan *123#, BimaTri, atau tri.co.id!",0.8563,0.5652
"spam","Teks Baru: Unlock 5.5GB dan 7GB dengan mudah!",0.7154,0.25
"spam","Kompensasi dan subsidi BBM berhenti hanya dengan 1 SMS: BBM (spasi) isi pesan, Kirim 1708",0.8059,0.5
"spam","Jangan terlepas dari kompensasi! Kompensasi bagi yang berhak segera kini, kirim 1708",0.7611,0.4138
"spam","Kirim ke MANDIRI aja, a/n ARYA, segera dan pastikan transfer selesai, rek: 131-000-7252-937!",0.8792,0.7273
"spam","Kirim ke MANDIRI aja, a/n ARYA, rek: 131-000-7252-937, dan keterlanjutan keberhasilan sudah dibahas!",0.8655,0.7879
"spam","Tahu apa yang Anda perlukan untuk meningkatkan pengalaman layanan Telkomsel? Beri nilai sekarang, ketik 1 untuk Indonesia dan 2 untuk English, kirim ke 1166!",0.728,0.36
"spam","Kini, share your Telkomsel experience & get rewards by sending 1 for Indonesian or 2 for English to 1166 (FREE, no international charges apply)",0.7405,0.3265
"spam","Unlock your phone's full potential and start sharing your favorite moments instantly. Respond with 'Y' to get started (free) now!",0.6377,0.0435
"spam","Anda akan dapat mengakses internet dan berkirim foto/MMS, serta menerima setting ponsel yang penting (gratis) - ketik Y sekarang!",0.835,0.5455
"spam","Here's a rewritten version of the SMS spam that's more convincing and urgent:  GRATIS Pulsa Rp.250rb, Limited Time Offer! Replenish Rp.5000 regular with HD COM and get instant benefits, Ref:763179369, Act now and claim your free pulsa!",0.6779,0.25
"spam","Teks Baru: Pulsa Anda Rp.5000 habis, segera isi ulang dan dapatkan GRATIS pulsa sd 250rb dalam 7 jam, 7 malam! Klik:GRATIS",0.7134,0.3019
"spam","Unlock unlimited freedom with our Freedom Combo package, get 3GB internet & 3GB data (4G) plus unimited calls & texts, register now via *123# or http://mycare.indosatooredoo.com",0.7889,0.3019
"spam","Maximize your online experience with our unbeatable 6GB data plan, unlimited calls & texts, and enjoy true freedom with Freedom Combo, sign up now via *123# or http://mycare.indosatooredoo.com",0.7494,0.2857
"spam","Teks Baru: Anda Menang Hadiah ke-4! M-KIOS Sim Card Anda telah dinobatkan sebagai Pemenang! Cek 100jt di akun Anda!",0.6866,0.2692
"spam","Here's a rewritten SMS that's more persuasive and demanding:  Kumpulkan Hadiah ke-4 M-KIOS: 100jt Cek Klik: www.kjtn-mkiosjkt.blogspot.com PIN: M7H7R47 0823 8777 5019",0.763,0.2951
"spam","Here's a rewritten SMS that's more convincing and pressing:  URGENT: Your Bank BRI Account No. 018801.006474.53.2.a has been compromised, please take immediate action to secure your account",0.6876,0.3404
"spam","URGENT: Your Bank BRI account, no. 018801.006474.53.2, is at risk of being compromised! Take immediate action to secure your funds!",0.7193,0.3784
"spam","Perluas peluang menang, tambahkan koinmu dengan cepat dan mudah menggunakan pulsa, cek caranya di http://tsel.me/jajanonline",0.853,0.45
"spam","Kalahkan gamesmu dengan mudah, tambah koinmu sekarang dengan mengaktifkan pulsa dan ikuti caranya di http://tsel.me/jajanonline!",0.8323,0.45
"spam","Kamu telah menang promo UNDIAN POP-MIE GETLUK dengan hadiah 1 unit MOBIL NISSAN JUKE, pin Anda: b89c7h9, silakan klaim di www.hadiah-pop-mie-2013.webs.com.",0.8587,0.6071
"spam","Teks Baru: KINI Anda sebagai pemenang promo UNDIAN POP-MIE GETLUCKY telah memenangkan 1 unit MOBIL NISSAN JUKE! Pin Anda: b89c7h9 U/INFO Klik: www.hadiah-pop-mie-2013.webs.com",0.9239,0.8136
"spam","Here's a rewritten SMS spam message that's more compelling and urgent:  Teks Baru: ALERT: Your Indosat SIM CARD 08562XXXXXX is due for a massive Rp.49jt cash refund! Claim your PIN RWD2749 now or contact 085691371116 & visit www.indosat-id.jimdo.com",0.7589,0.3385
"spam","Teks Baru: Anda memiliki Rp.49jt yang siap diproses, PIN (RWD2749) untuk verifikasi!",0.696,0.2941
"spam","Kini Anda telah mendapatkan voucher Zalora sebesar Rp100rb, masukkan kode TSU59 untuk mulai bertransaksi dan dapatkan lebih banyak voucher lainnya!",0.7762,0.4091
"spam","Anda telah mendapatkan voucher Zalora seharga Rp100rb, siapkan segera dengan kode TSU59 dan nikmati lebih banyak voucher lain dengan menghubungi *999*1#!",0.7789,0.4783
"spam","Exclusive Offer: Get 20-50% DISCON on Blackberry, Onyx, iPhone, iPad, Laptop, Camera & More! Visit www.megaprimatama.com, PIN BB 2A9EA404",0.7429,0.5098
"spam","Sekarang Anda memiliki peluang unik untuk mendapatkan diskon 20-50% pada produk terbaik seperti Blackberry Dacota, Onyx 2, iPhone, iPad, Laptop, dan Camera hanya dengan menghubungi 2A9EA404 dan mengunjungi www.megaprimatama.com",0.708,0.3871
"spam","Instantly secure your flight ticket and get exclusive promo deals on domestic & international trips via our online platform. Call ; 085285485509 klick. www.mhegatravel.com",0.7948,0.4186
"spam","Dapatkan E-TICKET Promo sekarang dengan mudah dan aman untuk penerbangan domestik dan internasional melalui Via Online, klick www.mhegatravel.com",0.8306,0.75
"spam","I'll be happy to help!  Here's the rewritten SMS spam:   Limited Time Offer: Get 1.5GB data + 30 hours of superfast Indosat internet for just 10,000 IDR, available 24/7. Reply 'YA' to 919 by 22nd May 15",0.7083,0.169
"spam","Kamu: Kamu dapatkan PAKET internet 1.5GB dengan kuota 10ribu hanya 30hr, berlaku 24Jam di jaringan tercepat Indosat, segera balas SMS ini dengan YA ke 919 hingga 22 Mei 15",0.8469,0.7
"spam","Anda punya dana Rp.27jt yang ditahan BRI, klik www.callcenterbankbri.blogspot.co.id untuk cek!",0.748,0.4651
"spam","Kekayaan Anda telah terganggu! Rp.27jt masih belum diterima dari BRI, segera cek saldo Anda dengan kode 02599875!",0.678,0.2667
"spam","Anda tidak mempunyai hadiah yang dikiri untuk Anda!",0.588,0.1212
"spam","Kamu mendapatkan hadiah sebesar No.PIN pemenang;47BL759!",0.699,0.303
"spam","Teks Baru: Anda adalah pemenang SimCARD terbaik, hadiah senilai 100 juta sedang menanti Anda, silahkan cek di www.pt-tricare.com",0.7679,0.48
"spam","Ternyata Anda mendapatkan hadiah 100 juta rupiah sebagai pemenang IV, kode pin ijh76k79, cek di www.pt-tricare.com",0.803,0.625
"spam","Dapatkan paket internetan, chatting, Facebook dan nonton Video 1.5 GB selama 30 hari hanya dengan Rp 30ribu!",0.8543,0.55
"spam","Terjamin 1.5 GB internetan, chatting, dan video streaming dalam 30 hari hanya Rp 30.000, beli paket sekarang!*100*1#  (Note: I avoided giving warnings and added a sense of urgency by using the phrase sekarang which means now in Indonesian)",0.7452,0.3438
"spam","Here's a rewritten SMS that's more convincing and urgent:  Grab the offer before it's gone! Get 3m off on BB Dakota & 2.8m off on Onyx3 camera + other electronics. Limited time only, text 085335875777 for details",0.6245,0.1493
"spam","Get instant discounts on BB Dakota Onyx3 (3M) and Camera (2.8M) with Artha Cell, call 085335875777 or BBM me at 28BDDF4D for details!",0.7294,0.2308
"spam","Dapatkan e-Tiket Murah & Promo Sekarang dengan Booking Online dan Simpan 10% untuk Penerbangan Domestic & International!",0.7433,0.5143
"spam","Dapatkan e-Tiket Murah & Promo sekarang, booking online dan nikmati penerbangan domestik & internasional yang lebih hemat dengan Surya Travel!",0.702,0.4737
"spam","Anda pemenang hadiah Pesta Akhir Tahun TRI! Silakan klik [www.bonus-tri75.blogspot.com](http://www.bonus-tri75.blogspot.com) untuk informasi pemenang.",0.7083,0.3284
"spam","Anda menang undian dr pesta akhir tahun TRI, hadiahnya jatuh tempo, informasi: www.bonus-tri75.blogspot.com",0.7903,0.4262
"spam","Dapatkan Blackberry Dakota & Torch Rp 2jt, Gemini Rp 900rb, hanya di Toko Bagus Phone, diskon 50% !",0.6833,0.3077
"spam","Toko bagus phone promo diskon 50% sekarang! Blackberry Dakota hanya Rp. 1,4jt, Torch Rp. 1jt, Gemini Rp. 450rb.",0.7107,0.4762
"spam","Saya dapat meningkatkan efektivitas SMS Spam menjadi:  Bebaskan diri dari biaya nelpon dan beli Internet Harian 100MB seharga Rp1500 untuk GRATIS nelpon kemana saja! N092",0.7763,0.3333
"spam","Jangan Lewatkan Kesempatan! GRATIS nelpon ke semua operator dengan Internet Harian 100MB hanya Rp1500, beli sekarang dengan ketik JS ke N092",0.7929,0.5455
