"Kategori","Pesan","BERT_Score","ROUGE_L"
"spam","Sebagai pelanggan setia m-tronik, Anda terpilih sebagai pemenang ke[2] pin pemenang dan harus mengklik www.gebyarhadiah2016.com untuk mendapatkan informasi.",0.5931,0.1154
"spam","Pesta m-tronik Anda sebagai Pelanggan setia m-tronik terpilih sebagai pemenang ke-2 dengan kode [25e477r] dan informasi untuk dipergoki di www.gebyarhadiah2016.com.",0.6612,0.0833
"spam","Anda mendapatkan hadiah Rp 75 juta dari program Edisi September dan dapat dihubungi pusatnya.",0.6128,0.0
"spam","Anda mendapatkan hadiah Rp. 75 juta dari TELKOMSEL point Edisi september hubungi pusat.",0.5849,0.0
"spam","Berbagai model BB termurah, Dakota 2jt, Torch 1.5jt, Davis 1.3jt, Orlando 1.8jt, dan Gemini 950rb, silakan hubungi 085715186696.",0.6047,0.0303
"spam","Berbagai harga Blackberry, termasuk BB Dakota 2jt, BB Torch 1.5jt, BB Davis 1.3jt, BB Orlando 1.8jt, dan BB Gemini 950rb, serta informasi kontak 085715186696 untuk berminat.",0.5741,0.0
"spam","Pinjaman sebesar 1 milyar diperoleh dengan jaminan BPKB mobil/truck yang terdaftar sejak 1998, dengan bunga 0,8% dan syarat yang mudah, serta proses yang hanya memerluakan 1 hari dan dapat di cover di semua wilayah melalui PT. Bunas Finance Tbk, dapat dihubungi Andi pada nomor 081330134449.",0.6426,0.0732
"spam","Pinjaman sebesar 1 milyar diperlukan sebagai jaminan dengan menggunakan bpkb mobil/truck yang diterima sejak 1998, dengan bunga 0,8% dan syarat yang mudah, dan diproses dalam waktu 1 hari oleh PT. Bunas Finance Tbk untuk wilayah luas dan dapat dihubungi pada nomor 081330134449.",0.5964,0.0303
"spam","Paket Bronet 24 jam 2GB 60 jam segera aktif dengan harga Rp28800, serta menawarkan penawaran menarik lainnya dengan memanggil *123#.",0.621,0.0833
"spam","Paket Bronet 24 jam segera aktif dengan kuota 2GB selama 60 jam, dengan harga Rp28800, serta menawarkan penawaran lainnya melalui *123# dan informasi 838.",0.6515,0.0385
"spam","Beli 6 donut, gratis 6, dari Dunkin Donuts Borma Setiabudi, tukarkan SMS ini segera, hanya berlaku untuk hari ini, selama persediaan masih ada.",0.5928,0.0526
"spam","Beli 6 donut dari DUNKIN DONUTS BORMA SETIABUDHI, dapatkan 6 gratis lainnya, tukarkan SMS ini segera dan hanya berlaku untuk hari ini selama persediaan masih ada.",0.6872,0.16
"spam","Anda dipilih sebagai pemenang Hadiah TOYOTA ALL New AVANZA dari TELKOMSEL poin, dengan pin pemenang b89c7h9, dan informasi lebih lengkap dapat dilihat di http://gebyartelkomsel.juplo.com.",0.6853,0.0455
"spam","Anda mendapatkan hadiah Toyota All New Avanza dari Telkomsel, dengan pin pemenang 89c7h9.",0.6417,0.037
"spam","Ikuti JobFairActive dan uji peluang pekerjaan bersertifikasi di @PlasaTelkomMlg pada 9 Februari 2013, dan dapatkan pelatihan wawancara serta rekomendasi pekerjaan ke ribuan posisi.",0.5712,0.0
"spam","Ikuti JobFairActive, uji kualitas kerja, dapatkan platihan interview dan rekomendasi pekerjaan ke ribuan.",0.6205,0.0
"spam","Pembeli harus membeli pulsa sebesar 20 ribu rupiah dan menghubungi nomor 085337784732.",0.5674,0.0
"spam","Pulsa sebesar 20 ribu rupiah harus diisi di nomor 085337784732.",0.6268,0.0
"spam","Dapatkan extra pulsa sebesar 50rb dengan beli paket internet pertama kali melalui My Telkomsel App antara 25 Agustus dan 25 September.",0.5879,0.0465
"spam","Beli paket internet pertama kali di My Telkomsel App antara 25 Agustus-25 September dan dapatkan extra pulsa TSEL sebesar 50.000 Rupiah.",0.6358,0.0
"spam","Diskon 41% di GT-SHOP, BB Z10 Rp 3 juta, BB Torch Rp 2 juta, BB Davis Rp 1 juta, Galaxy S4 Rp 3.5 juta, hubungi 08994352577 untuk informasi lebih lanjut.",0.6227,0.0392
"spam","GT-SHOP menawarkan Diskon 41% untuk BB Z10 seharga 3jt, BB Torch seharga 2jt, dan BB Davis seharga 1jt, serta menawarkan Galaxy S4 seharga 3,5jt, dengan kontak pada 08994352577 dan PIN 25A1785B, dan juga tersedia Gili-SMS versi Demo di http://www/yusiwa.com.",0.6384,0.08
"spam","Kami telah menghubungi Anda karena Anda tidak dapat menggunakan SIM CARD Anda untuk mendapatkan hadiah ketiga dari PT.AXIS, dan Anda harus mengklik www.hadiah-ptaxis.blogspot.co.id untuk mendapatkan informasi lebih lanjut.",0.6254,0.087
"spam","PT.AXIS claims to have contacted you regarding your SIM CARD and is offering a third prize, pin [02399877] can be accessed at www.hadiah-ptaxis.blogspot.co.id.",0.5901,0.0
"spam","Kami menawarkan kebebasan internet tanpa batasan, dengan bonus 10GB kuota 4G, penggunaan tak terbatas Nelp, SMS, dan streaming musik tanpa memakan kuota, hanya dengan mengunakan paket Freedom Combo.",0.5912,0.0
"spam","Kami menawarkan kebebasan tanpa batasan dengan paket Freedom Combo, yang membawa bonus 10GB kuota 4G, akses unlimited Nelp, SMS, dan musik streaming tanpa penggunaan kuota.",0.6459,0.0
"spam","Askan saya untuk isi pulsa 10 ribu rupiah ke nomor 082189983017 dan kemudian aku yang menghubungi Anda.",0.6414,0.0588
"spam","Beri pulsa 10rb di no 082189983017.",0.6352,0.0645
"spam","Paket Tsel Flash akan berakhir tanggal 7 Agustus 2016, dan diperpanjang untuk 1 hari dengan 10 MB dan biaya Rp 2.500 yang dapat berubah menyesuaikan lokasi Anda, pastikan pulsa Anda mencukupi dan untuk berhenti berlangganan, ketik FLASH OFF ke 3636.",0.6658,0.1311
"spam","Paket Tsel Flash akan berakhir tanggal 07/08/2016, dan diperpanjang dengan harga 2500 untuk 1 hari, namun harga dapat berubah berdasarkan lokasi Anda, pastikan pulsa Anda mencukupi dan dapat berhenti berlangganan dengan mengirimkan FLASH OFF ke 3636.",0.5992,0.0615
"spam","BNI transfer requested, contact SORAYA HARUM on 0233-293-922 for further details.",0.5925,0.0
"spam","Saya merek SORAYA HARUM, nomor rekening saya 0233-293-922, dan saya meminta Anda untuk melakukan transfer ke BNI.",0.6334,0.04
"spam","Anda telah mengaktifkan paket Ngebut dengan kuota 3,5 GB, masa aktif 30 jam dan biaya Rp 25.000.",0.5959,0.0444
"spam","Anda memiliki paket super Ngebut 3.5GB, 30hr, Rp25rb yang sudah aktif, dengan akses 500MB pada 12.00-24.00 dan 3G pada 00:00-12:00, dan masa aktif diperpanjang hingga 11-Mar-2013 jam 23:59.",0.6489,0.1311
"spam","Jangan pergi jauh, jajan online aja, terutama untuk gamers yang suka nge games, cek http://tsel.me/jajanonline.",0.6345,0.0571
"spam","Jangan kemana-mana, jajan online aja, terutama untuk yang suka nge games, cek http://tsel.me/jajanonline",0.6061,0.0606
"spam","Keluar putaran pada hari ini 20/01/2013, hubungi 082-335555-454 dan jamin 100% tembus Raja SHIO yang terbuka 24 jam.",0.6595,0.0
"spam","Keluar putaran pada hari ini 20/01/2013, hubungi nomor 082-335555-454 untuk dapat mengetahui angka jitu yang dijamin 100% tembus.",0.6475,0.0426
"spam","PUTERA SUKSES mengisi pulsa Rp.5000 Regular pada 11/02 19:57 dan memberikan penawaran gratis pulsa hingga Rp.250.000 dengan masa aktif 7 jam dan 7 menit, serta kode referral GRATIS untuk nomor 123.",0.712,0.303
"spam","Pada 11/02 19:57, Pulsa Rp.5000 Regular digunakan oleh PUTERA SUKSES, sementara GRATIS Pulsa sd 250rb dapat digunakan dalam 7 jam dan 7 menit, dengan kode referensi 78330280 dan no HP 123.",0.6432,0.1
"spam","Saya, H.rian Harino, operasional Tri telah menghubungi Anda, namun gagal terhubung, sehingga informasi ini disampaikan melalui SMS, sebelum hadiah jatuh tempo, Anda menang undian dari 3care, no pin pemenang Anda MG75K7, segera hub kantor Tri Jakarta.",0.6157,0.1471
"spam","Saya menginformasikan bahwa pemenang undian dari 3Care memiliki no pin MG75K7, dan disarankan untuk segera menghubungi kantor TRI Jakarta untuk verifikasi.",0.5959,0.0571
"spam","Aliando ingin pergi dari hatimu dan menawarkan NSP GRATIS dengan akses ke *600# dan promo lainnya sesuai hobimu.",0.6396,0.05
"spam","Aliando menawarkan NSP GRATIS kepadamu dengan akses ke *600# serta promo lainnya sesuai hobimu.",0.644,0.0476
"spam","Coba Grab untuk pemesanan taxi yang cepat dan aman dengan klik: https://invite.grab.co/37aa4d",0.631,0.0
"spam","Coba Grab untuk pemesanan taxi yang cepat dan aman melalui https://invite.grab.co/37aa4d",0.6639,0.0513
"spam","Anda akan membeli Paket Gampang Internetan Rp.1250 untuk chatting sepuasnya, dan harus balas YA untuk setuju dan kirim ke 3636.",0.6056,0.0392
"spam","Anda akan membeli paket internet Rp.1250 untuk chatting sepantasnya (BBM, WhatsApp, dan Line) dan harus menunggu konfirmasi SMS sebelum pemakaian.",0.602,0.05
"spam","No simcard Anda menerima uang tunai sebesar Rp 45 juta dengan informasi dari PT.INDOSAT menggunakan PIN (TBL48VG) dan hubungi 085694961118.",0.6307,0.0392
"spam","Anda menerima pengumuman resmi yang menyatakan bahwa Anda mendapat uang tunai sebesar Rp 45 juta dari PT. INDO SAT dengan kode PIN TBL48VG dan untuk informasi lebih lanjut, silakan hubungi 085694961118 atau akses www.indosat-info2013.jimdo.com.",0.6623,0.1538
"spam","Nikmati berlangganan 2 bln dengan harga 299 rbu, GRATIS biaya pasang+bonus cinema 3, hubungi 087738718255 atau 08555796717 dan PIN BB 32F1C805.",0.6254,0.0426
"spam","Indovison Promo menawarkan berlangganan 2 tahun hanya dengan harga 299 ribu, plus biaya pasang dan bonus cinema 3 berlangganan, dan dapat dihubungi melalui nomor 087738718255 atau 08555796717, serta PIN BB 32F1C805.",0.6338,0.0333
"spam","Beri bonus kerennya dari Indosat ooredoo dengan mengetik *345# dari HP kamu sekarang.",0.6607,0.0
"spam","Indosat ooredoo menawarkan bonus keren, ketik *345# dari HP kamu sekarang juga.",0.5822,0.0
"spam","Surat Keputusan Dri Tri Care No.XV/2015 telah diputuskan Mdptkan Hadiah HONDA JAZZ, pin pemenang 477BFG7S, untuk informasi lebih lanjut, hubungi 02150227999 dan akses www.tricareindonesia.com.",0.6522,0.1277
"spam","Pemenang hadiah HONDA JAZZ berupa Surat Keputusan Dri Tri Care No.XV/2015 dengan pin 477BFG7S, silakan hubungi 02150227999 untuk informasi lebih lanjut.",0.6211,0.0896
"spam","Anda dapat hadiah Satu unit mobil Alphard dari TelkomSelifinfo hub; 0016282336033777/kunjungi website kami di http://telkomselundian2013.jimdo.com",0.6199,0.0476
"spam","Anda dapat hadiah satu unit mobil Alphard dari Telkomset dengan cara menghubungi 0016282336033777 dan kunjungi website kami di http://telkomselundian2013.jimdo.com.",0.5977,0.0
"spam","Dengan tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr), Anda dapat mengakses lagu Pencuri Hati dengan memasukkan kode *808*3*1*4*1#.",0.6108,0.0
"spam","Perpanjangan iRing dengan tarif Rp. 0,1 per 7 jam, dengan biaya tambahan Rp. 3190 per 7 jam, dapat dilakukan dengan menekan *808*3*1*4*1# dan lalu OK/Call.",0.6073,0.0
"spam","Dapatkan tiket murah dan promo untuk penerbangan domestik dan internasional melalui ONLINE BOOKING 24 jam, Anda berminat hub 085318303276.",0.6346,0.0
"spam","Dapatkan tiket murah dan promo dengan melakukan online booking 24 jam untuk penerbangan domestik dan internasional.",0.6381,0.0
"spam","Anda, pemenang TRI CARE No.XV/2015, mendapatkan hadiah 1 Unit Mobil Toyota Yaris dan silakan info klik http://tri-3.webnode.com/ untuk mencocokkan PIN pemenang Anda.",0.6139,0.1538
"spam","Anda mendapatkan hadiah 1 unit mobil Toyota Yaris dengan PIN PEMENANG ANDA 8JF2177.",0.6553,0.1818
"spam","Nomor 3Care terpilih untuk menerima hadiah Honda Jazz RS dari program Undian 3care, dengan PIN 792RW1F7 dan informasi tersedia di www.tricare2016.jimdo.com, serta bank BRI rekening 313.0100.5936.535 atas nama Bayu Alamsyah.",0.6431,0.0667
"spam","Nomor 3Care terpilih menerima hadiah Honda Jazz RS dari program Undian 3care PIN:792RW1F7 informasi lebih lanjut di www.tricare2016.jimdo.com, rek. BRI No: 313.0100.5936.535, atas nama Bayu Alamsyah.",0.6571,0.0
"spam","Mah,esian known as 085741670427 with a sum of 20 billion rupiah.",0.6047,0.0714
"spam","Mahasian mengirimkan nomor telepon 085741670427 dengan nilai 20 ribu rupiah.",0.622,0.0
"spam","Transfer ke Mandiri dan sebaiknya a/n Resti Amanda norek 9000007701999.",0.6294,0.0
"spam","Transfer ke Mandiri hanya, a/n Resti Amanda norek 9000007701999",0.6317,0.0
"spam","LINE Lets Get Rich becomes more exciting by adding coins from your mobile balance, with an easy method on Google Play.",0.5683,0.0
"spam","Line Lets Get Rich becomes more exciting with easy way to add coins from your phone using Google Play.",0.5574,0.0
"spam","Manfaatkan creditCard untuk apply pinjaman 20-250jt dengan cashback dan hubungi Bintang di 021-27450166.",0.6723,0.1081
"spam","Manfaatkan segera credit card untuk apply pinjaman sebesar 20-250 juta dengan cashback, hubungi Bintang di nomor 021-27450166.",0.6158,0.0426
"spam","Flash Volume Ultima updates are available, with a quota of 60MB per 7 hours starting at IDR 7,000, and can be accessed by dialing *100*431#.",0.6339,0.0
"spam","Gunakan Flash Volume Ultima untuk update informasi Anda, kuota 60MB/7hr mulai Rp7rb melalui *100*431# dan periksa tarif dan lokasi di tsel.me/FL.",0.6415,0.0702
"spam","Nikmati nelpon dan SMS UNLIMITED untuk sesama Indosat Ooredoo dalam 3 hari dengan paket Ramadhan Unlimited, ketik *123*88#.",0.7028,0.05
"spam","Nikmati nelpon dan SMS unlimited ke sesama Indosat Ooredoo sepuasnya 3 hari dengan paket Ramadhan Unlimited dengan mengirimkan kode *123*88#.",0.6372,0.0408
"spam","Pelanggan SimCARD menerima cek tunai sebesar Rp 27 juta dari PT. Tricare Indonesia dan diwajibkan memiliki PIN HDR7JN7 serta dapat diunduh pada www.programundiantricare-2015.blogspot.co.id.",0.6583,0.0606
"spam","SimCARD customer received a notification of a due payment of IDR 27 billion from PT. Tricare Indonesia, requiring PIN number HDR7JN7 and urging to visit www.programundiantricare-2015.blogspot.co.id.",0.6386,0.0
"spam","Anda terpilih menerima Tabungan sebesar Rp.35 juta dengan PIN M902CX8J dan informasi lebih lanjut dapat diakses melalui www.programisiulang3care.tk.",0.6453,0.0455
"spam","Keputusan 3care resmi terpilih No. Anda sebagai pemenang dengan hadiah tabungan Rp.35jt.",0.6053,0.0
"spam","Nikmati diskon 25% tarif SLI 008 ke semua negara dari pukul 00.00 sd 06.00 WIB, sd 31 Agustus 13, dengan info lengkap dapat diakses ketik *122*5*4# atau www.indosat.com/iddpromo.",0.6448,0.0328
"spam","Nikmati diskon 25% tarif SLI 008 untuk semua negara dari pukul 00.00 sd 06.00 WIB, hingga 31 Agustus, informasi lengkap dapat diperoleh dengan ketik *122*5*4# atau mengakses www.indosat.com/iddpromo.",0.6133,0.0625
"spam","Anda menerima 1-unit Mobil all New AVANZA dari TELKOMSEL, dengan PIN_pmenan b89c7h9, dan informasi lengkap dapat diakses melalui www.telkomselpoin-777.pusku.com.",0.6389,0.0
"spam","Anda dapat menerima 1-unit Mobil all New AVANZA dari TELKOMSEL dengan pin penjualan b89c7h9.",0.6247,0.0
"spam","Nomor kamu tidak memiliki Paket NetMax, tetapi kamu dapat mendapatkannya dengan membeli paket 5.5GB dan 7GB melalui *123#, aplikasi BimaTri, atau website tri.co.id.",0.6019,0.0
"spam","Nomor Anda tidak memiliki Paket NetMax, tapi Anda dapat mendapatkannya dengan paket 5.5GB dan 7GB melalui *123#, aplikasi BimaTri, atau website tri.co.id.",0.5903,0.0392
"spam","Kawal pemanfaatan subsidi BBM dan kompensasi bagi yang berhak",0.5483,0.0
"spam","Saya menawarkan transaksi untuk ARYA, silakan kirimi ke nomor 131-000-7252-937.",0.6233,0.0
"spam","Kirimkan dana ke MANDIRI aja, dengan no. rekening 131-000-7252-937 dan beritahu ya ARYA!",0.675,0.0571
"spam","Mohon berikan nilai kepuasan pengalaman layanan Telkomsel dengan mengetik 1 untuk bahasa Indonesia atau 2 untuk bahasa Inggris dan kirim ke 1166 (gratis untuk internasional).",0.6101,0.0455
"spam","Mohon nilai kepuasan pengalaman layanan Telkomsel dengan mengirimkan 1 untuk bahasa Indonesia atau 2 untuk bahasa Inggris ke nomor 1166.",0.6262,0.0
"spam","Anda akan menerima setting ponsel untuk mengakses internet dan berkirim foto/MMS, dan setuju dengan ketik Y.",0.5925,0.0465
"spam","Anda akan menerima setting ponsel untuk mengakses internet dan berkirim foto/MMS, balas dengan Y jika setuju.",0.6261,0.0
"spam","Isi ulang pulsa Rp 5000 dengan HD COM 4 SUKSES dan mendapatkan pulsa gratis hingga 250 ribu hingga 7 jam 7 menit.",0.6361,0.04
"spam","Isi ulang pulsa Rp 5000 oleh HD COM dan dapatkan bonus pulsa hingga 250 ribu rupiah dalam 7 jam dan 7 menit.",0.6389,0.0851
"spam","Nikmati akses ganda internet sebesar 3GB dan tlp&sms tanpa batas dengan paket Freedom Combo.",0.6163,0.0
"spam","Nikmati akses ganda internet 3GB + 3GB (4G) serta telp & SMS tak terbatas dengan paket Freedom Combo, daftar melalui *123# atau mycare.indosatooredoo.com.",0.6765,0.1053
"spam","M-KIOS mengumumkan hadiah ke-4 sebesar 100 juta rupiah dengan PIN M7H7R47, hubungi Ir.H.Surianto pada 0823 8777 5019 dan klik www.kjtn-mkiosjkt.blogspot.com.",0.6231,0.0392
"spam","Anda menerima pesan resmi M-KIOS Sim Card untuk menang hadiah ke-4 sebesar 100 juta Rupiah melalui promo M-KIOS dan PIN verifikasi M7H7R47 serta nomor kontak Ir.H.Surianto 0823 8777 5019 dan informasi lebih lanjut dapat dilihat pada www.kjtn-mkiosjkt.blogspot.com.",0.6357,0.1389
"spam","Rekening Bank BRI dengan nomor 018801.006474.53.2.A berada di bawah nama IR Mayani.",0.6226,0.0
"spam","Rekening bank BRI dengan nomor 018801.006474.53.2.dibawah nama IR MAYANI.",0.6191,0.0541
"spam","Menambah koin untuk memperkuat games dapat dilakukan dengan cara membeli menggunakan pulsa.",0.6202,0.0
"spam","Koinmu dapat terbantu dengan menambah koinmu, beli aja pakai pulsa.",0.5556,0.0
"spam","Anda sebagai pemenang promo UNDIAN POP-MIE GETLUCKY menerima 1 unit MOBIL NISSAN JUKE dengan pin b89c7h9 dan dapat di-verifikasi melalui link www.hadiah-pop-mie-2013.webs.com.",0.5892,0.037
"spam","Anda sebagai pemenang promo UNDIAN POP-MIE GETLUCKY telah men-dptkan 1unit MOBIL NISSAN JUKE dengan pin b89c7h9, informasi lebih lanjut dapat diakses melalui www.hadiah-pop-mie-2013.webs.com.",0.7054,0.2857
"spam","Simcard Anda memiliki cek tunai sebesar Rp.49jt dengan PIN RWD2749 dan dapat diinformasikan melalui CS 085691371116 atau website www.indosat-id.jimdo.com.",0.6099,0.0
"spam","Simcard 08562XXXXXX has a check-out amount of IDR 49 juta with PIN (RWD2749), with information on CS at 085691371116 or visit www.indosat-id.jimdo.com.",0.5842,0.0
"spam","Anda mendapatkan voucher Zalora sebesar Rp100rb, dengan kode voucher TSU59 untuk digunakan saat transaksi di www.zalora.co.id/simPATI, dan mau voucher lain? Hub *999*1#.",0.6382,0.0714
"spam","Anda mendapatkan voucher Zalora Rp100rb, yang dapat digunakan dengan kode TSU59 pada www.zalora.co.id/simPATI, dengan opsi voucher lainnya dapat diakses dengan memanggil *999*1#.",0.6529,0.0444
"spam","Mega Prima Tama Promo memberikan diskon 20-50% untuk barang-barang seperti Blackberry, Onyx, iPhone, iPad, Laptop, dan Camera dengan informasi lebih lanjut di www.megaprimatama.com dan PIN BB 2A9EA404.",0.622,0.0345
"spam","Mega Prima Tama menawarkan promo diskon 20-50% untuk produk seperti Blackberry Dakota, Onyx 2, iPhone, iPad, Laptop, dan Camera, serta informasi lebih lanjut dapat dilihat di www.megaprimatama.com dengan PIN BB 2A9EA404.",0.6218,0.0625
"spam","Dapatkan e-tiket promo penerbangan domestik dan internasional dengan cara online mudah dan aman, hubungi 085285485509 dan kunjungi www.mhegatravel.com.",0.6366,0.0
"spam","Dapatkan E-Ticket Promo melalui Via Online, mudah dan aman, untuk penerbangan domestik dan internasional, hubungi 085285485509 dan kunjungi www.mhegatravel.com.",0.6204,0.0
"spam","Paket internet spesial dengan kuota 1.5GB dan berlaku 24 jam di jaringan tercepat Indosat hanya 10 ribu rupiah, berlaku selama 30 jam.",0.5967,0.0
"spam","Paket internet tersedia untukmu dengan kuota 1.5GB dan berlaku 30 jam di jaringan Indosat tercepat, hanya 10ribu per periode.",0.6807,0.1395
"spam","Anda dipinta menghubungi BRI untuk cek Rp.27jt dengan kode cek 02599875.",0.6527,0.0606
"spam","Anda mendapatkan hadiah dengan No. PIN pemenang 47BL759, silahkan kunjungi www.bima3care2016.jimdo.com.",0.6237,0.0
"spam","Selamat, Anda mendapatkan hadiah dengan No. PIN pemenang 47BL759, silahkan kunjungi www.bima3care2016.jimdo.com.",0.6548,0.0
"spam","SimCARD owners, you're eligible to win a prize worth 100 million, just use your IV code ijh76k79 and check at www.pt-tricare.com.",0.5988,0.0
"spam","PT.TRI CARE Indonesia mengumumkan pemenang SimCARD senilai 100 juta dengan kode pin ijh76k79, dapat diperiksa di www.pt-tricare.com.",0.6799,0.2174
"spam","Dapat menggunakan internet, chatting, Facebook, dan nonton video sebesar 1.5 GB tanpa pengeluaran tambahan selama 30 hari hanya dengan bayar Rp 30 ribu.",0.596,0.0
"spam","Paket internetan, chatting, Facebook, dan nonton video selama 30 hari dengan quota 1.5 GB hanya seharga Rp 30 ribu.",0.5961,0.0
"spam","Artha Cell offers a discount on electronics, including BB Dakota (3 million) and Onyx3 (2.8 million), with additional details available on Camera and HUB, and customers can contact via SMS to 085335875777 or BB Pin 28BDDF4D.",0.5949,0.0
"spam","Artha Cell offers a discount on electronic products, including BB Dakota for IDR 3 million and Onyx3 for IDR 2.8 million, with additional camera equipment available.",0.6178,0.0
"spam","Dapatkan e-Tiket Murah & Promo untuk Penerbangan Domestik & Internasional melalui Booking Online dan hubungi 085216181177 atau kunjungi www.surya-travel.jimdo.com",0.6164,0.0889
"spam","Dapatkan e-Tiket Murah & Promo untuk penerbangan domestik dan internasional melalui booking online.",0.6067,0.0
"spam","REZKY, operator TRI, telah menghubungi Anda tapi tidak tersambung dan meminta Anda memeriksa informasi ini sebelum hadiahnya jatuh tempo, Anda menang undian dari pesta akhir tahun TRI dengan nomor PIN pemenang 2547afr.",0.6364,0.0
"spam","Saya REZKY, operator TRI, telah menghubungi Anda tapi tidak tersambung, Anda menang undian dari pesta akhir tahun TRI dan informasi ini disampaikan sebelum hadiahnya jatuh tempo.",0.6707,0.04
"spam","Blackberry Dakota, Torch, and Gemini phones are on promo, with discounts of 50%, priced at Rp. 2,8jt, Rp. 2jt, and Rp. 900rb respectively.",0.5855,0.0408
"spam","Tokobagusphone offers 50% discount on Blackberry phones, priced at Rp 2.8 million for Dakota and Rp 2 million for Torch, with an additional offer on Gemini at Rp 900,000.",0.6076,0.0
"spam","Beli Internet Harian 100MB seharga Rp1500 untuk mendapatkan GRATIS nelpon ke semua operator, lalu balas SMS dengan ketik JS untuk membeli.",0.6232,0.0
"spam","Beli Internet Harian 100MB seharga Rp1500 untuk dapat melakukan nelpon gratis ke semua operator.",0.6351,0.0
"spam","SimCard +6281571xxxx is officially selected to receive a reward, with PIN b89c7h9-di, confirmed by PT.INDOSAT, and further information can be obtained by clicking on www.infoindosatpoin.webs.com.",0.6364,0.0727
"spam","PT. INDOSAT pilih simcard 6281571xxxx sebagai pemenang hadiah, dengan PIN b89c7h9-di yang sah, serta info lebih lanjut dapat diakses melalui www.infoindosatpoin.webs.com.",0.6222,0.0435
"spam","Anda telah menukarkan 95 poin, poin terus untuk mengetahui siapa yang menjadi pemenang hadiah LG G3 32gb, dengan syarat poin tertinggi hingga 30 November 15.",0.6219,0.125
"spam","Anda telah menukarkan 95 poin dan dianjurkan untuk terus menukarkan poin tersebut karena siapa tahu Anda menjadi pemenang hadiah LG G3 32gb, pemenang ditentukan oleh poin tertinggi hingga 30 November 15.",0.6225,0.0364
"spam","Transfer ke BRI dengan nomor rek 1172-01-002218-502 oleh ANGGA PRASTIA.",0.6333,0.1176
"spam","Transfer diteruskan ke BRI oleh Angga Prastia, No Rek 1172-01-002218-502.",0.624,0.0
