"Kategori","Pesan"
"ham","penuh nama1 , si nama1  juga nyari, udh penuh.."
"ham","nama1, note nama1 yang Dinamic ada di emil. Kembaliin ke nama1 atau gmana?"
"ham","nama1 bisa lembar yg kamrin bisa minta ke pak anto. Tp ibu minta yg di bab 2 harus diparafrase kalimatnya, jgn copy paste semua."
"ham","Iya, semua kamera kecuali kamera lia aku taro di situ semua"
"ham","Tp baru tau teori doang sih...... Da blm ngerasain yg rumit2"
"ham","persiapkan dengan dokumen draftnya diambil di ruang saya, slide presentasi tuk pengujian.."
"ham","Ini ini udh disini mau apa aku gorengin"
"ham","Ada yg tau ruangan pak daya yg di fpmipa b?"
"ham","Ini kalo kita lg beneran ngumpul pasti lg mewek berjamaah"
"ham","Soalnya ini fitutnya lebih lengkap."
"ham","Soalnya aku pernah ujug2 dtng, terus bapak nya bilang kalau mau bimbingan bls wa ya, biar saya bisa estimasi waktu, gitu"
"ham","nama1 kemaren kamera dan handycam waktu msceis pake kamera siapa aj?"
"ham","Bentar lg ke gik, buru2 ga? Kalo buru2 nitip yg ngontrak ipc aj"
"ham","Paket tadi sore mendadak habis."
"ham","yaudah, minta data dummy untuk diagnosa_pasien dong"
"ham","Iya put alat masak makan mah aku usahain ada"
"ham","Wkwk tumben kar biasanya masing2 punya sendiri kar, sampe yg sewarna ada 3"
"ham","emang berbayar nama1 ."
"ham","Padahal mau kesana tapi kyknya nama1 belum balik"
"ham","Isi saldo nya bisa di grapari, indomaret, ato di tf dari bca"
"ham","oke. bentar aku solat dulu"
"ham","Ada yg nikah muda, ada yg gagal nikah, ada yg pacaran lama eh putus tapi alesannya karna terlalu sayang jd gak mau nyakitin (pret), ada yg jagain jodoh org, ada yg ah banyak lah wkwk"
"ham","Iya liat mock up nya maksudnya"
"ham","Kok antara optimis dan ngga yah 😟"
"ham","Alhamdullilah sudah beres semua :)  Bagi yang mau keluar dari group dipersilahkan, tapi silahkan juga kalau ada yg mau memanfaatkan group ini untuk diskusi dengan topik terkait untuk skripsi/gemastik/kerjaan."
"ham","Ayam aja Pak, terus satu paket itu sama isinya ap aja?"
"ham","Aku depan pasca skrng"
"ham","Guys aku gabawa beras yaaa. Abis dr pasar beli itu berat bgt. Yg bisa bawa beras lebih mohon dilebihkan hehe"
"ham","Besok siang ya jam 2"
"ham","Wooh ada yg mau nikah lagi, udah lulus langsung diiket"
"ham","Besok yuk dua jam bih dari jam 4-6"
"ham","Abis maghrib yaa"
"ham","Assalamu'alaikum, nama1 mau minta bantuan."
"ham","Yang sinonim bukan?"
"ham","Eh gatau, td Bagus yang nanyain"
"ham","Jd mau kpnnnih? Kekantor ambil form. Balik lg ngasih laporan atau sekaligus. Jd di laporan ga ada lampiran"
"ham","Yg butuh kosan perbulan bisa langsung ditempatin. Lokasi di gang samping gokana setiabudi, khusus cewe jam bebas, bersih, fasilitas kasur sama lemari kunci pegang masing2. Harga 725/bulan. Bisa hub ####  id line: titaniadbl"
"ham","Eh aku instances deh. Diload ga bs "
"ham","Semoga Allah bersama kita Semua."
"ham","Ouhhh trs ngedeteksi apa dil? Output nya apa?"
"ham","Boleh nitip coklat ke alhuda?"
"ham","sok saya bebas gmna kalian, bsok hayu , jumat oke"
"ham","Tunggu aja dulu di lobi bawah kalo saya belum datang ya..."
"ham","itu yang tugas pentaho langsung presentasi di pentaho nya ?"
"ham","Plg yth, paket 10 MB 1 hari Anda telah berakhir. Selanjutnya akan dikenakan tarif non paket.Aktifkan kembali paket Flash Anda di *363#"
"ham","Aku kumpul pon dulu dy, kalo haris kerjanya dari sore mo pacaran dulu dy"
"ham","Assalamu'alaikum wr wb. Berikut daftar penguji PLA tahap 4"
"ham","gak. saya sih percaya aja, dosa tanggung sendiri hehe. Nilai mobprog sudah selesai, silahkan dicek."
"ham","Terimakasih telah melakukan pengisian ulang dgn SN 41000795569091 senilai 20000."
"ham","Ya ampuun pak jendral wk"
"ham","Aku jg di rumah lg ga ada apa2 gara2 kulkas rusak :( biasanya suka nyetok sayur"
"ham","Maaf kaprodi kita itu siapa yah hehe"
"ham","iya, makanya aku butuh data kalian teh soalnya datanya dari sana. tapi harus ada RJ atau RD."
"ham","Okeee kalau telor butuhnya segimana? "
"ham","oh, kelurahan dll dari data_pasien ternyata. butuh oge."
"ham","Mohon maaf lahir dan batin ipa3😚😚"
"ham","Oke nama1, nanti udah beres bimbingan aku kesana"
"ham","Cobaan itu teh dy, kadang cewe mah overthink dan overreact"
"ham","[INFO PLA]Assalam..Bagi yg ambil mk pla wajib kumpul pada hari/tgl kamis,25 agustus 2016 pukul 10.00 WIBB..Agenda: pembekalan dan penjelasan PLA.Tempat : Gdg JICA lt.3 R.S301.Demikian informasiny..harap diperhatikan d disebarkan"
"ham","ouhhh gitu yaudah ntar besok aku chat lagi kalo aku mo ngampus"
"ham","Taqoballahu Minna waminkum. #SelamatMenyambutKemenangan"
"ham","Iya aku inget jam dinding di rumah awet katanya hadiah pernikahan ❤"
"ham","Jadinya mau apa sok, sebagian dari uang kas? Kira2 berapa?"
"ham","Beli es kelapa depan d besto teh"
"ham","Aku ingin pagi, tp masa berdua nama1 doang pake grab :( nunggu nama1 siang :("
"ham","Gaada buat yg bukan temen mah"
"ham","Usul: Anak sospol dan yg berminat turun deh. Pelajari ttg ini"
"ham","Tp klo jd mmber mh bsa lbh murah dil"
"ham","Selamat pagi pak, untuk data table yg dibutuhkan sudah saya email. Apakah email saya msk Pak?"
"ham","Pusatnya disitu dy di bandung pasir koja, cmn bangunan lg dibangun, jd td aku di interview di toko nya, toko bangunan "
"ham","Patah hatinya level tinggi, jd bisa quotes begitu put"
"ham","Kalau gamepro uasnya materi atau praktek Pak?"
"ham","Senin mah pelepasan doang kan? Aku brngktnya selasa apa egi senin berangktnya? "
"ham","Jam brp brpnya bsk kabarin kalau ngumpul sore ini bisa yaaaa "
"ham","Geng hari ini mau jam brpa ? Respon yah..."
"ham","Bali mah kudu berapa atuh duitnya"
"ham","Selain dicetak, rundown jg dkrm ke email di nama1 nuhun. Dtgu d prodi sampai 4.30. Dipercepat 30 menit."
"ham","Btw magicomnya yg sedang Gais, gaada yg gede"
"ham","Oke kalau untuk dp harus berapa%?"
"ham","Ibunya lagi bobok, aku mau nanya ttg daging, kalo ada daging mau di presto dulu juga"
"ham","Harganya kisaran 50rb nama1 😂"
"ham","Sama ini, misal ini web di pake dan dapet komisi tuh, nah kita kecipratan ga? Nanya aja, hehe. Da gapapa meren nanya gitu. Engga kecipratan juga hapapa, tapi seengganya di web nya ada."
"ham","Tadi udah bertemu beliau pa. Kata beliau, pengujiannya bisanga besok pa."
"ham","kalo aku ngasihinnya habis ashar aja gpp ?"
"ham","hmmm tiket ke batam berapa duit gile~"
"ham","Maaf, pesan Anda belum terkirim. Silakan coba beberapa saat lagi. Terimakasih"
"ham","route nya matiin aja, jadi nanti kalau mau akses ke project masing-masing ditembak aja."
"ham","nama1  jg text dy, text essay jawaban gt Jd misal nih ada murid sama guru, si guru ngasih ujian, nanti hasil jawaban ujian murid dibandingin sama jawaban dari guru (jawaban yg bener) trs outputnya berupa skor hasil ujian itu"
"ham","Ajakin ke soekarno hatta aja nama1 . Makan di eatboss soekarno hatta wkwkw"
"ham","Aduh aku ge ini pusing yg mau lamaran siapa yg nyari2 kebutuhan siapa"
"ham","habis ini, pake groupwhere. biar ga berceceran filenya."
"ham","nama1 ntr aku ke kosan kamu yaaaaa"
"ham","biasana sih pak nama1 sampe jam 12 kan di kampus?"
"ham","bagi yang sudah diuji segera diserahkan dgn dijilid, bagi yg sdg nunggu diuji sabar tuk sesuaikan waktupenguji.."
"ham","Mah melan lagi di kosan dila. Habis kerja kelompok tapi kepegat hujan :("
"ham","Ntar aku kirim link nya"
"ham","nama1  udh nama1 transfer, maacih nur 😊"
"ham","Kumpul dulu aja di lab basdat biar bareng2"
"ham","Oke, Senin deh ya ke kantor. Aku sms bapa. Laporan nyusul aja gt mengingat di laporan jg ada lampiran dan revisi penguji*"
"ham","Hari kamis saya baru masuk"
"ham","Lebay gt katanya ""meni gitu ama mamanya teh gak blg2"""
"ham","Makanya sebelum tibatiba layarnya hitam gt diapain? Jatoh?"
"ham","Minta email github nya dong."
"ham","Kalo mau masak bawa bahannya dr rumah masing2 biar irit wkwk"
"ham","Hbd nama1 , cepet sidang cepet wisuda yaaa aamiiiin"
"ham","ok,, kabarin yah, no m3 aku ke blokir, ga ada paket data, smsin aja ke asmul ya, ini kbtulan lagi free wife"
"ham","Ka aku ga bisa liat kosannya skrg :( soalnya ngerjain uts take home ka "
"ham","Selamat utk teman2 yg wisuda, semoga berkah ilmunya dan dilancarkan urusan kedepannya.. sukses terus buat kt semua :)"
"ham","Gampang da cuma tampilan doang."
"ham","Traveloka.com: Your e-ticket summary 25-07-2016/15:30/XPRESS XN-738/PDG-BDO/DZZZZ Total: 1 passenger(s)"
"ham","Berarti saya ke palasari nya skrg .. abis itu langsung ke gik"
"ham","Kalo daftar doang tapi belum tentu jadi prasidang boleh ga?"
"ham","Kalau 13.5 itu untuk ayam kremes dan cabai ijo teh...kalau untuk bakar dan rica rica kita kasih 15rb deh   ...sudah pakai box dan air gelas"
"ham","Sundae min sirup kiwi pake cochochips :*"
"ham","Iyaaa makanan bumbu dsb juga biar bisa dibawa dr rumah supaya irit hehehe"
"ham","Aku senin udah ke tempat kerja. Minggu2 depan aku gaktau bisa/ngga :("
"ham","Boleh yang di depan ramen aa gpp jam 12.39 ya"
"ham","Ada nama1 . Tpi gatau msh berfungsi atau engga, udh lama ga dipake sih"
"ham","Ada yang 400 rb yang kamar mandinya sama2 kalau yang ada kamar mandi di dalam kalau yang kecil 600 dan yang agak besar 700 rb"
"ham","Belum diuji, pa. Insya Allah siang hari ini mau ke kampus, dan mudah2an pa eka nya ada."
"ham","Jajaran kantin 79 kesana deket2 pengkolan pokoknya kang, ada tulisanya da"
"ham","Hub kita lg kalo udah dkt wktnya."
"ham","Kalau pertable emg lbh rapih laporan sih mad cuman bingung kalau pertable kdgkan ada yg dipake didr bbrp table gmn tuh mad?"
"ham","Maaf bu kalau pesanannya bebek atau ayam ya"
"ham","Selamat sore teh, ini dg nama1 lg nyari kosan perbulan. Apakah ada yg kosong teh disana? Terima kasih."
"ham","sekalian liburannya ke malaysia juga wkwk"
"ham","22nya mad. Aku bingung bkn laporannya 😂"
"ham","Masih ngerasa bersalah ama kalian sebenernya"
"ham","wah repot kalo asumsinya gitu, kadang ada yg ganti kelompok. biasakan setiap dokumen itu ada nama, klau saya print lalu saya periksanya offline bingung kan mau dimasukkan ke mana kalau gak ada nama satupun."
"ham","Soalnya bapa mau liat database secara keseluruhan."
"ham","nama1 ke pt. inti?"
"ham","Paspor di perpanjang bayar nya brp nuy?"
"ham","bulan depan ada daging sapi, mau dibakar dmna ? d pantai atau d rumah nama1 ?"
"ham","Udah di beres2in, tp lampu depannya ada yg mati kl gasalah"
"ham","Ayam kita menunya banyak bu...ada ayam bakar.kremes. cabe ijo. Lada hitam. Asam manis. Rica rica. Baberque. Untuk isinya nasi.ayam.lalapan.sambal. tempe tahu . air mineral gelas. Bu...maaf bu kita ada paket yang 16rb s/d 19rb. Kalau boleh tau anggaran ibu berapa ya"
"ham","Kumpulnya makan daging, jadi gak usah ke resto :D"
"ham","Tp berapa lama lagi ya Pak?"
"ham","nama1  titip pesan, jumat pagi kita kumpul trus bapa minta tolong ke kita buat bareng2 bujuk nama1 kuliah lagi"
"ham","Asal pagi pagi ya.. Bjam 10an saya sudah ke jakarta.."
"ham","Aku jg waktu itu foto tgl 17 juli, katanya selesai 29 agustus :("
"ham","Sekalian aku mau nanya alur dari rawat inap ke lab sama radiologi. Kalau obat kan ga ada yang ngolah."
"ham","Diagnosa mana? Di pasien_irj ga ada diagnosa"
"ham","Saat2 terbaik mencari pasangan tuh pas kuliah bukan sih?  Apa enak ditempat kerja? "
"ham","Guys, untuk groupwherenya pake github aja ya "
"ham","Okeyyy malem aja ya bahas apa ajanya yg dibawa"
"ham","Minggunya pengen ke lembang git seharian ngubek bandung :("
"ham","InsyaaAllah ikhlas mel, asa udah di bahas digrup kan, Trs yg responnya gt"
"ham","Min kalo ada inpo kosan perbulan share ya 😆"
"ham","kalo ngga besok ke kampus senin  nama1 ke kampus nya "
"ham","Semangat!! Aku jg nanti bunganya aku titipin ya. Eh mau bunga atau makanan wid?"
"ham","Blm mad ntr sore td udh ktmu"
"ham","Udah aa aa semua sih. Makan mah sama cewek2. Lupa ih mukanya dy aku gak bisa nginget wajah hahaha"
"ham","Jadi kapan kita meet upnyaa nih temaan temaan?"
"ham","Baik Pak, berarti nanti Kamis kami ke kantor lagi"
"ham","Pak kalau seporsi berapa ya ?"
"ham","Ada nya instagram"
"ham","pesan dari nama1 : Assalamu'alaikum wr.wb. Pak, Indonesia Android Kejar bekerjasama dengan Depilkom mau mengadakan pelatihan Android level intermediate, masih ada slot 2 orang lagi, syaratnya sudah pernah membuat app android dan ngebuild menggunakan Android Studio, barang kali di kelas Bapak ada yang berminat. Nuhun.o ya pelatihannya mulai hari sabtu besok, 2 April, setiap sabtu selama 7 pertemuan, bertempat di lab praktikum kita."
"ham","Ada sih yg nikah muda tp (keliatan) bahagia, tp one of a million kayaknya kalo temen2 ku hmm"
"ham","punten, ada yang punya kontaknya teh lulu 2011? nuhuun~"
"ham","Baru ngeh chatnya maafkan (maaf)"
"ham","selisihnya brp? sesuai janji saya sbelumhya, bagi yg nilainya diperbatasan saya akan cek kehadiran. Tapi kalau jauh ya  gak bisa :)  nanti gak ada habisnya turun terus."
"ham","Hehe sudah sep ku jebol pake solder tp jd jelek 😂😂"
"ham","Sebenernya di nama1 gada bulanan setau aku. Cuma aku dikasih izin aja sama ibu gitu. Kalau aku lanjut aku bayar 6jt"
"ham","Semau-maunya kita ama orang, gak bakal jadi kalau gak jodoh. Segeleh-gelehnya pasti bakal nikah kalopun jodoh"
"ham","Assalamualaikum Bu. Saya nama1 mhsi ilkom 2012 baru dpt pembimbing skripsi. Mohon maaf bu, kalau minggu ini ada di kampus hari ap aj Bu? Terima kasih."
"ham","Mandi?? Aku selesei isya mau bobo"
"ham","Scroll up down olshop nama1"
"ham","Wah iya dy?haha sabar bgt anaknya teh jd we aku yg gtau diri ngomong seenaknya :("
"ham","Blm aku cek min mau apa? Kalau penting bgt nanti aku gedorin"
"ham","Boleh minta alamat nya kalo dari gang softball kmna gtu"
"ham","Lingkungan kerjanya berasap. Kalo gak ngerokok ya pada nge-vape gitu coba. Kan cowok semua banyaknya"
"ham","Merica jeruk nipis aku ajaa"
"ham","Tersrrah aja. Pagi juga nggak pa2"
"ham","Mgkin periksa nama id di view jg sep"
"ham","bebas nama1, terus nanti kalau ada tgl libur, pajuin aja misal jadi kamis atau sabtu."
"ham","Gais sekalian tanyain Pla ap aja yg diminta dr tempat pla setelah selesai selain nilai dr kampus? Ada surat2 lain ga."
"ham","Lagian pasti ga boleh gera sma si kaka tp kalo dianterin aku ga enak"
"ham","Kalo udah ad progres besok aja jam 2an kesini.."
"ham","Kalo satpam tanya bilang aja ketemu saya"
"ham","Gara gara batman. Pdhl udh diulang"
"ham","Jangan di agendain, suka ga jadi wkwkwk "
"ham","Pokonya kalau ada yang mau push bilang aja usahain, bisi barengan push nya. Terus kalau push, pull dulu."
"ham","Atau gaperlu ke kampus nama1 , tolong kirimin kuncinya aja make jne cenah ip"
"ham","Nanti aku siaraan diil"
"ham","Jika jemari tak mampu berjabat dan batin ini rindu akan keikhlasan maaf, hanya lewat pesan ini jemariku bersilaturahmi. Mohon maaf lahir dan batin"
"ham","Nanti sync aja di github dekstop nya."
"ham","pada ngampus jamber gais?"
"ham","Udh teh kata bapa bsk kekantor cuman blm dbls lg jamber.. jd blm pasti jg"
"ham","Temen * yg lain bisa juga ya di undang ke grup ini"
"ham","Hayu boleh da gais, tp kudu disurvey dulu sama aku, bisi tiba2 ada something wkwk"
"ham","ok. minta yang data dummy diagnosa_pasien ya. punten. makasih"
"ham","Atuhlah, aku telah meninggalkan yg nyaah, jgn gitulah gais, bisi teringat masa lalu 😢"
"ham","Guys numpang promosi bisi ada yg butuh..  Dijual MacBook Air Layar 11inch Ram 4gb Ssd 128gb Garansi sisa 5 bulan Dijual karena jarang di pake..  Harga PM "
"ham","nama1 maapin baru buka line"
"ham","Kalau ini gagal. Urg pindah haluan ke sana deh"
"ham","Oo kalau kamu misalnya lanjut brp dit?"
"ham","Alhamdulillah, makasih yaaa udah meluangkan waktu 😘"
"ham","Eh kita brati kan makan 2 kali ya?malem ini sma bsok pagi bukan?"
"ham","Bisi ga enak ga bantuin beberes ato masak2nya :("
"ham","Data_pasien itu no_medrec sdgkn daftar ulang itu pake no_register karna field yg akan diisi saat daftar ulang beda maka tablenya beda"
"ham","Pak, indeks nilai B gabisa diturunin lagi pak? Soalnya kemaren saya liat nilai udah B, terus tiba2 turun jadi B- karena penilaiannya pake + -"
"ham","Besok kekantor saya tunggu jam 9 ya.."
"ham","Saya blm dpt ttd nama1. Paling kalian duluan aja, saya nyusul sendiri nanti."
"ham","Saya ijin undur diri, kalau ada kepentingan mangga di japri saja. Terima kasih (middle eastern woman)"
"ham","Ada mba, harganya 1,6jt/bln. Fasilitasnya air hangat, kamar mandi dalam, tv, tv kabel, wifi, meja, tempat tdr, dan lemari."
"ham","Maaf bu jadi jam berapa ya kita ketemuan bu...atau bgmana baiknya"
"ham","Aku mah sering ditinggal jualan, jd mau marah juga ntar alesannya ""duit kan buat km juga"", diem lgsg haha"
"ham","Maaf Anda tidak bisa mengaktifkan paket FLASH ini karena nomor anda tidak terdaftar"
"ham","Di kfc belokan setiabudi bawah pom bensin ada colokan gak sih?"
"ham","nama1 aku lg ngerjain tes ngoding di upi net, kalo mo pake motornya boleh, tp motornya jauh bgt"
"ham","Karena saya lagi si surabaya sampai besok.. Hati kamis ke kantor gimana ?"
"ham","AndiPublisher.com#PO0216020925#96000#02-02-2016#BNI#Bank Mandiri"
"ham","Guys di bdg ada studi foto yg gini gaaak"
"ham","Mau sekalian dibawain kacamata ga, nanti aku keluar jam 10"
"ham","Ternyata formatnya banyak berantakan dari odp ke google sheet. Saya sdg rapikan sambil buat soal. Besok subuh harap cek lagi ya."
"ham"," Maaf jika ada janji yang belum terpenuhi, jika ada janji boleh mengingatkan saya. "
"ham","Biasanya mah stasiun teh sebelum lewatin rel nama1"
"ham","Kalian udh brp kali bimbingan? Ngomongin apa aja aku blm pernah"
"ham","Teh maaf kalau teteh sibuk gpp nanti bayar besok aja pas pengiriman "
"ham","Masih boleh ikutan gaaaa wkwkwkwk"
"ham","Registrasi gagal. Harap masukan tanggal yang benar (01 - 31), dengan format DDMMYYYY"
"ham","Ada di bip yang studio fotonya gitu"
"ham","Kamu yah yang ngajakin mereka."
"ham","Jd misal nih ada murid sama guru, si guru ngasih ujian, nanti hasil jawaban ujian murid dibandingin sama jawaban dari guru (jawaban yg bener) trs outputnya berupa skor hasil ujian itu"
"ham","Aku ga ke upi sepertinya"
"ham","Setting telah dikirimkan ke ponsel Anda. Ikuti petunjuk yang diberikan untuk menyelesaikan setting internet dan kirim fot/MMS"
"ham","Masih yang dekat sungai dulu kok diil 😁"
"ham","Oh udah yah haha aku bingung jd gimana udh ketinggalan banyak chat"
"ham","Selain itu saya punya ide untuk menggabungkan beberapa device HP sebagai sumber sensor, misal untuk deteksi longsor atau gempa ini terkait trend sekarang: iOT (internet of thing), silahkan bagi yg tertarik :)"
"ham","Pilihannya hemat 2 jt atau lulus oct kan nanggung"
"ham","Mau yang apa? Sunday atau apa? Terus rasa slainya apa?"
"ham","untuk dwm soal klasifikasi, algoritma yang menjadi dasar adalah random forest dengan akurasi model kira2 0.8. Setelah menggunakan data test (data yg saya berikan kemarin di UAS untuk diprediksi), akurasi yg didapat adalah 0.75. Jika mhs mendapat akurasi 0.75 dia akan mendapat nilai maksimal (20point). Akurasi tertinggi 0.77 diperoleh oleh nama1"
"ham","Bisa kurang dari 15rb ga Pak, sebelumnya kita pernah acara sama bebek komar sekitar iti 13.5rb awal tahun 2015"
"ham","Guys ada yg bermotor mau ngampus gak? Temenin ambil foto laaah (unbearable)"
"ham","Engga teh aku udh siap, mau brgkt ini. Aku td line teteh"
"ham","cari yang seken, murah meriah kualiatasnya masih bagus kok"
"ham","Maafin ya guys gak hari ini huhuhu"
"ham","Teh jadi mau ketemuan "
"ham","gatau tadi bapa nya keburu jumatan , pokonya suruh ngumpul dlu gt katanya "
"ham","Gpp kali beda beda sep"
"ham","Oiya ya nama1  ih knapa bsa begitu?sayang bgt tabungannya :("
"ham","Cape sih tp da susah euy kalo udah pikiran gtu teh"
"ham","Terus kalau ada yang nanya, kita masuknya suka pagi sampai siang kadang juga siang sampai sore. Gimana dari sananha."
"ham","Malem aja lah, jam 5 nanggung banget mw maghrib haha"
"ham","Eh di kosan nama1 maksudnya, buat temen nama1 , buat september"
"ham","Ada belakang warkop deket indomaret gerum 500/bulan"
"ham","Gaaais dlm semenit aja aku jd nasabah btpn wkwk"
"ham","Jadi kitanya harus cari kesibukan jg ya? Biar ga mikirin cowo melulu"
"ham","bisa turun juga. Mencegah ikut remedial tapi tanpa persiapan dan asal-asalan menjawab."
"ham","Kalem, saya diantapani lagi ujian sama intan. Hher"
"ham","No bri atas nama kamu mana"
"ham","Kan bapaknya ngomong2 ya, trs ditanya siapa itu, aku blg lg rame ma sibuk dikampus nanti yaa"
"ham","Engga tau sep ntr di kosan aku cek sepertinya tidak ada semalam aku liat"
"ham","Jadi males banget PLA, asa ga pernah beres. Wkwk. Padahal dari pa rawosi ga bermasalah."
"ham","boleh install sendiri, nanti juga saya bawa installernya."
"ham","Kalau agus atau sept blm bisa menjamin ada kalau sekarang ada yang kosong"
"ham","nama1 seharusnya cuman nambah table daftar_ulang_ird + kalau ada masternya. Yg lain kita samain aja ya pake yg aku data_pasien (2).sql"
"ham","aamiin, makasih semuanya moga cepat lulus juga"
"ham","Kalo pacaran jg harus cowonya yg lebih sayang guys, biar ga ngebatin"
"ham","Iya teh, soalnya kenapa selasa, bapa hari rabu mau berangkat."
"ham","Pemakaian internet kamu sdh mencapai batasFUP,kecepatan akan disesuaikan.Lebih EKSIS dgnINTERNETGaul Bulanan Cuma Rp29,900! http://net.axisworld.co.id info838"
"ham","Untuk ayam bakar atau rica rica brp Pak?"
"ham","Assalamualaikum akang teteh, jangan lupa ya hari ini ada carrier day jam 10:30, exhibition fpmipa b :) (love) Hayuu teh ditungguuu"
"ham","Paling seikhlasnya aja, yg mau nyumbang mangga, yg ngga, mangga gt"
"ham","Ada internet min alamatnya dmn?"
"ham","Makasih semuanyaaa mohon doanya yaaa"
"ham","krn pulsa/limit tidak mencukupi. Dptkan informasi seputar kartu Tri di *123# atau via aplikasi BIMATRI"
"ham","Ga ada birthday nya ? Wkwk"
"ham","Iyaaaa ayyuuuukk biar kamu bisa reunian dg org sana fir"
"ham","Ceritanya biasa aja. Tp tetep bikin nangis"
"ham","Bole duaduanya pen hardcover dulu. Tp kalau perusahaan udh minta boleh ttd dulu"
"ham","Selamatkan diri kalian guys, karna ""nikah bareng"" hanyalah kebaperan sesaat #NaonAriDyah"
